max_fare,PU_zone_name_max,DO_zone_name_max,min_fare,PU_zone_name_min,DO_zone_name_min,sum_fares,num_ccs,num_cash,day_avgs,source,month,year,url,filename
1612.88,Central Harlem North,West Brighton,2.5,Bedford Park,Bedford Park,13943306.4,506096,504974,"[13.56576385712337, 13.66788851220005, 13.74147662276329, 13.687124440852388, 13.962954879176262, 13.87902467588615, 13.913866489498842]",green,02,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-02.csv,green-2017-02.csv
8999.91,Riverdale/North Riverdale/Fieldston,Riverdale/North Riverdale/Fieldston,2.5,East New York,East New York,15817033.87,563990,580988,"[13.782523384901038, 13.649247732204136, 13.713570801833892, 14.056623460755972, 13.831995461819794, 13.714731942996544, 13.870953840104676]",green,03,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-03.csv,green-2017-03.csv
1978.8,Randalls Island,Randalls Island,2.5,Washington Heights South,Washington Heights South,15048035.05,534921,534351,"[13.847898079252467, 13.56900410191686, 13.96682107428112, 14.127569117625898, 14.291550479705734, 14.189430011203374, 14.271336661180806]",green,04,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-04.csv,green-2017-04.csv
2062.3,Randalls Island,Randalls Island,2.5,Jamaica Estates,Jamaica Estates,15015688.160000008,526242,521238,"[14.020354833171181, 14.314912082528105, 14.27491984102175, 14.28416419258136, 14.589411505913413, 14.37871468264203, 14.453747453594886]",green,05,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-05.csv,green-2017-05.csv
445.0,Crown Heights South,Crown Heights South,2.5,Crown Heights South,Crown Heights South,13982920.890000006,483290,482007,"[14.080437921776362, 14.420047807465522, 14.55406478746901, 14.627225643556105, 14.512166627317397, 14.581632443336442, 14.503186346448011]",green,06,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-06.csv,green-2017-06.csv
1899.8,Randalls Island,Randalls Island,2.5,Elmhurst/Maspeth,Elmhurst/Maspeth,13070991.000000006,452147,452054,"[14.232879935702579, 14.401394516927178, 14.527515560355875, 14.632709913546147, 14.566624653622666, 14.356094027067538, 14.510372563196599]",green,07,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-07.csv,green-2017-07.csv
2047.8,Randalls Island,Randalls Island,2.5,Flushing Meadows-Corona Park,Flushing Meadows-Corona Park,12414896.69,432011,425080,"[14.39180283867643, 14.347647630210007, 14.639309005912702, 14.692065590283354, 14.463229154766374, 14.405932761689526, 14.403336306010933]",green,08,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-08.csv,green-2017-08.csv
2669.3,Randalls Island,Randalls Island,2.5,Fresh Meadows,Fresh Meadows,12955152.160000004,451249,421588,"[14.82785776367385, 14.777210492460792, 14.730038384935723, 14.939205680857306, 14.924201286552709, 14.689920925456436, 15.046982852909013]",green,09,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-09.csv,green-2017-09.csv
1370.3,Randalls Island,Randalls Island,2.5,East Chelsea,East Chelsea,13349370.500000006,487151,428949,"[14.33156296926023, 14.494844568477925, 14.753805238197891, 14.692097601460706, 14.839521126974141, 14.581890523804903, 14.363899588643873]",green,10,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-10.csv,green-2017-10.csv
6004.3,Elmhurst/Maspeth,Elmhurst/Maspeth,2.5,East New York,East New York,12436386.710000003,462025,403190,"[14.417970308558123, 14.43821137456598, 14.51527206398204, 14.613573684981278, 14.208493458152947, 14.153901532779873, 14.22764461683805]",green,11,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-11.csv,green-2017-11.csv
1279.3,Randalls Island,Randalls Island,2.5,Ozone Park,Ozone Park,12701878.920000002,464687,432060,"[14.441495820271687, 14.291638550977892, 14.306454685370033, 14.378066902728602, 14.318559626458764, 13.832243369090385, 13.780820658269812]",green,12,2017,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2017-12.csv,green-2017-12.csv
