source,month,year,url,filename
yellow,07,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2018-07.csv,yellow-2018-07.csv
green,07,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-07.csv,green-2018-07.csv
fhv,07,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2018-07.csv,fhv-2018-07.csv
yellow,08,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2018-08.csv,yellow-2018-08.csv
green,08,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-08.csv,green-2018-08.csv
fhv,08,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2018-08.csv,fhv-2018-08.csv
yellow,09,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2018-09.csv,yellow-2018-09.csv
green,09,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-09.csv,green-2018-09.csv
fhv,09,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2018-09.csv,fhv-2018-09.csv
yellow,10,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2018-10.csv,yellow-2018-10.csv
green,10,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-10.csv,green-2018-10.csv
fhv,10,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2018-10.csv,fhv-2018-10.csv
yellow,11,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2018-11.csv,yellow-2018-11.csv
green,11,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-11.csv,green-2018-11.csv
fhv,11,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2018-11.csv,fhv-2018-11.csv
yellow,12,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2018-12.csv,yellow-2018-12.csv
green,12,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2018-12.csv,green-2018-12.csv
fhv,12,2018,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2018-12.csv,fhv-2018-12.csv
